stock_id,date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2330,2012-07-12,69235096,5287047721,77.5,77.5,75.7,75.7,-2.4,23778
2330,2012-07-13,52310641,3949873323,74.9,76.0,74.5,75.8,0.1,13639
2330,2012-07-16,41994534,3183841769,76.3,76.3,75.5,75.5,-0.3,9414
2330,2012-07-17,51879713,3881908383,74.5,75.2,74.5,74.8,-0.7,12607
2330,2012-07-18,38710559,2902077205,75.0,75.3,74.8,74.8,0.0,8401
2330,2012-07-19,62113192,4805417749,76.8,78.0,76.8,77.5,2.7,16410
2330,2012-07-20,49932861,3822073597,76.4,77.0,76.2,76.7,-0.8,10779
2330,2012-07-23,57536450,4279479731,75.1,75.1,73.8,74.3,-2.4,17149
2330,2012-07-24,39973144,2978392600,74.3,74.8,74.2,74.8,0.5,9278
2330,2012-07-25,72480832,5425812616,75.0,75.2,74.4,74.6,-0.2,9457
2330,2012-07-26,47155795,3584528109,75.7,76.7,75.2,76.3,1.7,12890
2330,2012-07-27,73460029,5755817625,77.9,79.4,77.2,79.3,3.0,21866
2330,2012-07-30,51381522,4085851694,80.0,80.4,78.8,79.0,-0.3,13157
2330,2012-07-31,68248506,5481799912,78.5,81.0,78.5,81.0,2.0,16521
2330,2012-08-01,43525027,3474791160,80.1,80.5,79.4,80.0,-1.0,9580
2330,2012-08-03,47301469,3765617992,79.5,80.1,79.2,79.8,-0.2,9990
2330,2012-08-06,58469961,4737484734,80.9,81.5,80.7,80.9,1.1,12119
2330,2012-08-07,40186900,3260023131,81.3,81.4,80.7,81.4,0.5,8912
2330,2012-08-08,40138071,3253977846,81.9,81.9,80.1,80.5,-0.9,8995
2330,2012-08-09,54299876,4445413032,81.3,82.3,81.3,82.3,1.8,14094
2330,2012-08-10,30075236,2459026452,82.3,82.4,81.2,82.0,-0.3,7652
2330,2012-08-13,30295284,2512605986,83.8,83.8,82.5,82.7,0.7,9611
2330,2012-08-14,33337141,2775745803,83.0,83.8,82.8,83.2,0.5,9361
2330,2012-08-15,27500957,2278935990,83.7,83.7,82.5,83.0,-0.2,6642
2330,2012-08-16,28242616,2345531231,83.0,83.4,82.5,82.9,-0.1,6616
2330,2012-08-17,30136410,2483333420,83.0,83.2,82.0,82.0,-0.9,9434
2330,2012-08-20,26037426,2141030713,82.7,82.7,81.9,82.4,0.4,6050
2330,2012-08-21,36886310,3079579747,82.7,83.9,82.7,83.6,1.2,8798
2330,2012-08-22,33635298,2769711952,83.1,83.4,81.9,82.4,-1.2,9547
2330,2012-08-23,22367001,1845923956,82.4,82.8,82.2,82.7,0.3,4794
2330,2012-08-24,25494308,2092454556,82.3,82.3,81.7,82.0,-0.7,5553
